,asr_transcript,uniqueId
0,Turned the temperature down in the bathroom ,7NqqnAOPVVSKnxyv-01307c00463011e9bc6555b32b211b66
1,Turn the temperature down in the water ,7NqqnAOPVVSKnxyv-0157abb0463311e9bc6555b32b211b66
2,Pause ,7NqqnAOPVVSKnxyv-015a0790463111e9bc6555b32b211b66
3,Turned down ,7NqqnAOPVVSKnxyv-018ba970463211e9bc6555b32b211b66
4,Turn on the washroom lights ,7NqqnAOPVVSKnxyv-01c9a860462811e9bc6555b32b211b66
5,Which often wife ,7NqqnAOPVVSKnxyv-022dbd30462f11e9bc6555b32b211b66
6,Quieter ,7NqqnAOPVVSKnxyv-0348e9d0463211e9bc6555b32b211b66
7,Turn on the lights ,7NqqnAOPVVSKnxyv-03503240463111e9bc6555b32b211b66
8,During the rostrum lights on ,7NqqnAOPVVSKnxyv-03c614a0462811e9bc6555b32b211b66
9,Turn down the heat the bathroom ,7NqqnAOPVVSKnxyv-04458430463011e9bc6555b32b211b66
10,Turned down the heat in the water ,7NqqnAOPVVSKnxyv-04e56650463311e9bc6555b32b211b66
11,Volume mute ,7NqqnAOPVVSKnxyv-053131d0463211e9bc6555b32b211b66
12,Turn off the lights ,7NqqnAOPVVSKnxyv-0548a6e0463111e9bc6555b32b211b66
13,Switch on the washroom lights ,7NqqnAOPVVSKnxyv-05e57230462811e9bc6555b32b211b66
14,During the heat down in the bathroom ,7NqqnAOPVVSKnxyv-067e8440463011e9bc6555b32b211b66
15,Washroom lights off ,7NqqnAOPVVSKnxyv-0696e3b0462f11e9bc6555b32b211b66
16,Turned the he down in the water em ,7NqqnAOPVVSKnxyv-07125870463311e9bc6555b32b211b66
17,Lower the volume ,7NqqnAOPVVSKnxyv-072fe800463211e9bc6555b32b211b66
18,Chains language ,7NqqnAOPVVSKnxyv-07d03c20463111e9bc6555b32b211b66
19,Lights on the wash room ,7NqqnAOPVVSKnxyv-07f69ef0462811e9bc6555b32b211b66
20,Turn volume up ,7NqqnAOPVVSKnxyv-088d3570462f11e9bc6555b32b211b66
21,Decreased the temperature in the bathroom ,7NqqnAOPVVSKnxyv-08ce40a0463011e9bc6555b32b211b66
22,Volume lower ,7NqqnAOPVVSKnxyv-0916d070463211e9bc6555b32b211b66
23,Decrease the temperature in the water ,7NqqnAOPVVSKnxyv-094df090463311e9bc6555b32b211b66
24,Caused the music ,7NqqnAOPVVSKnxyv-09c79f50463111e9bc6555b32b211b66
25,Washroom lights on ,7NqqnAOPVVSKnxyv-09ee2930462811e9bc6555b32b211b66
26,Turn sound up ,7NqqnAOPVVSKnxyv-0a73cfc0462f11e9bc6555b32b211b66
